,default_chances,D,Greenspace,S_urban_cluster,S_green,entropy,chi2_statistic,p_value,world
0,[0. 1. 0. 0. 0. 0. 0. 0. 0.],-1.8912361952970234,0.5486,544,869,0.6884157938324327,94.4784,2.4778149574010237e-22,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 ...
 [0. 1. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
1,[0.  1.  0.  0.  0.1 0.  0.  0.  0. ],-1.9328470641527982,0.4062,5700,105,0.6754456027875646,351.9376,1.60399509467434e-78,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
2,[0. 1. 0. 0. 1. 0. 0. 0. 0.],-1.9570774426496265,0.271,7281,84,0.5842509278894263,2097.64,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
3,[0.  1.  0.  0.1 0.  0.  0.  0.  0. ],-1.9294731898631994,0.4311,5305,74,0.6836224819760497,189.8884,3.362721869849868e-43,"[[1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
4,[0.  1.  0.  0.1 0.1 0.  0.  0.  0. ],-1.9465662946345776,0.3479,6501,14,0.6461369553987149,925.3764,2.9880006983448325e-203,"[[1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 ...
 [0. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
5,[0.  1.  0.  0.1 1.  0.  0.  0.  0. ],-1.968045537194231,0.2254,7737,7,0.5336580871995449,3016.2064,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
6,[0. 1. 0. 1. 0. 0. 0. 0. 0.],-1.9405617002843047,0.3642,3703,188,0.6557965074323542,737.6656,1.9291844440848454e-162,"[[1. 0. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
7,[0.  1.  0.  1.  0.1 0.  0.  0.  0. ],-1.9594819576851772,0.2767,7220,12,0.5898095198870555,1994.5156,0.0,"[[1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
8,[0. 1. 0. 1. 1. 0. 0. 0. 0.],-1.9779720242003322,0.1616,8384,4,0.4423135460800922,4580.5824,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
9,[0.  1.  0.1 0.  0.  0.  0.  0.  0. ],-1.9270598152521803,0.4401,564,66,0.6859538961661762,143.5204,4.523236904551812e-33,"[[1. 1. 1. ... 0. 0. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 0. 0. 1.]]"
