,default_chances,D,Greenspace,S urban cluster,S_green,entropy,chi2_statistic,p_value,world
0,[0.  0.1 0.  0.5 0.  0.1 0.  0.  0. ],-1.9675418093686479,0.2283,7715,7,0.5372140390580981,2952.8356,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 0. 0. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
1,[0.  0.1 0.  0.5 0.  0.5 0.  0.  0. ],-1.981049241636158,0.1407,8593,6,0.4062321559889357,5163.8596,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
2,[0.  0.1 0.  0.5 0.1 0.  0.  0.  0. ],-1.9638572410473467,0.2503,7490,11,0.562664488369364,2494.0036,0.0,"[[1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 ...
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
3,[0.  0.1 0.  0.5 0.1 0.1 0.  0.  0. ],-1.9716275618627608,0.2031,7968,4,0.5046700202105411,3525.9844,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
4,[0.  0.1 0.  0.5 0.1 0.5 0.  0.  0. ],0.0,0.9999,1,9999,0.0010210290370309323,9996.0004,0.0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
5,[0.  0.1 0.  0.5 0.5 0.  0.  0.  0. ],-1.9768038910910137,0.1694,8304,5,0.4549335597824755,4371.8544,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
6,[0.  0.1 0.  0.5 0.5 0.1 0.  0.  0. ],-1.9815137768923696,0.1375,8624,4,0.40039917444896944,5256.25,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 ...
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
7,[0.  0.1 0.  0.5 0.5 0.5 0.  0.  0. ],-1.9892257486451703,0.0826,9174,3,0.28507399709421055,6968.9104,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
8,[0.  0.1 0.1 0.  0.  0.  0.  0.  0. ],0.0,0.9999,1,9999,0.0010210290370309323,9996.0004,0.0,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]"
9,[0.  0.1 0.1 0.  0.  0.1 0.  0.  0. ],-1.9642119688982838,0.2488,7497,14,0.5610129657649062,2524.0576,0.0,"[[0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
